,0,1
1,-119.3070912361145,15
2,-219.74516606330872,22
3,-288.29482102394104,27
4,-358.0815808773041,31
5,-448.4798963069916,37
6,-510.07485723495483,37
7,-569.3626043796539,38
8,-631.8883147239685,38
9,-688.3763363361359,38
10,-767.1856822967529,43
11,-829.7357506752014,45
12,-890.7912812232971,47
13,-959.4029633998871,48
14,-1017.4596202373505,50
15,-1072.8665628433228,50
16,-1127.716388463974,50
17,-1191.9606671333313,52
18,-1262.2036309242249,57
19,-1319.6177229881287,57
20,-1372.8979184627533,57
21,-1426.5976285934448,61
22,-1484.6271088123322,63
23,-1537.636632680893,63
24,-1602.3230664730072,65
25,-1656.7776153087616,66
26,-1709.6935834884644,66
27,-1768.509132385254,66
28,-1834.5315091609955,67
29,-1891.482343196869,67
30,-1956.3206617832184,68
