,0,1,2
0,com.canva.app.editor.home.HomeActivity,18,19
1,com.canva.app.editor.home.HomeActivity,18,1
2,com.canva.app.editor.home.HomeActivity,10,0
3,com.canva.createwizard.feature.CreateWizardActivity,6,0
4,com.canva.app.editor.editor.EditorActivity,7,0
5,com.canva.app.editor.editor.EditorActivity,10,0
6,com.android.internal.app.ResolverActivity,2,0
7,com.canva.app.editor.editor.EditorActivity,13,0
8,.pager.HostPhotoPagerActivity,15,0
9,com.canva.app.editor.editor.EditorActivity,15,0
10,com.canva.app.editor.home.HomeActivity,12,0
11,com.canva.app.editor.home.HomeActivity,5,0
12,com.canva.app.editor.home.HomeActivity,1,0
13,com.canva.app.editor.home.HomeActivity,7,0
14,com.canva.app.editor.categorytree.CategoryTreeActivity,18,1
15,com.canva.app.editor.editor.EditorActivity,22,1
16,com.canva.app.editor.editor.EditorActivity,3,0
17,com.canva.magicresize.MagicResizeActivity,10,0
18,com.canva.magicresize.MagicResizeActivity,8,0
19,com.canva.magicresize.MagicResizeActivity,9,0
20,com.canva.oauth.feature.OauthActivity,13,0
21,com.canva.app.editor.editor.EditorActivity,0,0
22,com.canva.app.editor.categorytree.CategoryTreeActivity,12,0
23,com.canva.team.feature.management.TeamManagementActivity,10,0
24,com.canva.team.feature.management.TeamManagementActivity,3,0
25,com.canva.app.editor.home.HomeActivity,3,0
26,com.canva.app.editor.home.HomeActivity,6,0
27,com.canva.app.editor.home.HomeActivity,32,1
28,com.canva.app.editor.home.HomeActivity,22,1
29,com.canva.app.editor.home.HomeActivity,20,0
30,com.canva.app.editor.home.HomeActivity,15,0
31,com.canva.app.editor.home.HomeActivity,16,0
32,com.canva.app.editor.home.HomeActivity,19,1
33,com.canva.app.editor.home.HomeActivity,33,1
34,com.canva.app.editor.home.HomeActivity,19,20
35,com.canva.app.editor.home.HomeActivity,21,1
36,com.canva.app.editor.categorytree.CategoryTreeActivity,19,1
37,com.canva.app.editor.home.HomeActivity,26,1
38,com.canva.app.editor.home.HomeActivity,17,0
39,com.canva.app.editor.home.HomeActivity,39,1
40,com.canva.app.editor.home.HomeActivity,23,1
41,com.canva.app.editor.home.HomeActivity,0,0
42,com.canva.app.editor.home.HomeActivity,14,1
43,com.android.internal.app.ChooserActivity,17,0
44,.WebViewBrowserActivity,6,0
45,com.android.billingclient.api.ProxyBillingActivity,6,0
46,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,19,1
47,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,3,0
48,com.canva.app.editor.home.HomeActivity,35,1
49,com.canva.app.editor.home.HomeActivity,15,1
50,com.google.android.finsky.billing.acquire.BottomSheetUiBuilderHostActivity,3,0
51,com.android.internal.app.ChooserActivity,13,0
52,com.canva.app.editor.home.HomeActivity,13,0
53,com.canva.app.editor.home.HomeActivity,6,7
54,com.canva.app.editor.home.HomeActivity,11,0
55,com.canva.app.editor.editor.EditorActivity,16,0
56,com.android.internal.app.ChooserActivity,16,0
57,com.canva.app.editor.editor.EditorActivity,17,0
58,com.canva.app.editor.editor.EditorActivity,8,0
59,com.canva.app.editor.home.HomeActivity,9,0
60,com.android.internal.app.ChooserActivity,7,0
61,com.android.internal.app.ChooserActivity,15,0
62,com.canva.app.editor.home.HomeActivity,20,1
63,com.canva.app.editor.home.HomeActivity,20,21
64,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,20,1
65,com.canva.app.editor.home.HomeActivity,5,6
66,com.canva.app.editor.home.HomeActivity,5,1
67,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,6,0
68,com.canva.app.editor.categorytree.CategoryTreeActivity,20,1
69,com.canva.app.editor.home.HomeActivity,14,0
70,com.android.internal.app.ChooserActivity,14,0
71,com.canva.app.editor.home.HomeActivity,34,1
72,com.canva.app.editor.home.HomeActivity,17,1
73,com.canva.createwizard.feature.CreateWizardActivity,20,1
74,com.canva.createwizard.feature.CreateWizardActivity,7,0
75,com.canva.app.editor.home.HomeActivity,18,0
