,0,1
1,-135.26391887664795,12
2,-255.99414944648743,18
3,-392.6260943412781,22
4,-616.1345167160034,24
5,-657.4019160270691,24
6,-819.3684175014496,25
7,-885.8928298950195,25
8,-1011.4184594154358,28
9,-1119.4536814689636,42
10,-1182.166185617447,43
11,-1262.6545450687408,48
12,-1324.5043778419495,51
13,-1388.8853962421417,53
14,-1467.282494544983,57
15,-1534.2409191131592,64
16,-1585.1543083190918,65
17,-1686.9209353923798,66
18,-1755.2246453762054,67
19,-1800.3672635555267,67
20,-1919.5792961120605,69
21,-2108.09343457222,70
22,-2313.100506544113,70
23,-2411.0333569049835,71
24,-2498.9561178684235,71
25,-2645.9372868537903,72
26,-2727.2205600738525,72
27,-2777.9667580127716,72
28,-2942.5582885742188,73
29,-3114.6981036663055,74
30,-3266.2017707824707,74
