,0,1
1,-211.02593421936035,74
2,-415.76473593711853,75
3,-552.9836609363556,85
4,-693.5106229782104,90
5,-764.0307924747467,92
6,-827.8275125026703,92
7,-908.4679815769196,93
8,-959.7011203765869,93
9,-1008.7955594062805,93
10,-1068.1577270030975,93
11,-1125.7471463680267,95
12,-1176.7287187576294,95
13,-1265.2092261314392,99
14,-1334.1792404651642,100
15,-1398.6904664039612,102
16,-1456.106751203537,102
17,-1528.4855315685272,104
18,-1591.7224128246307,104
19,-1655.061760187149,105
20,-1713.784264087677,105
21,-1794.2516582012177,108
22,-1869.001303434372,113
23,-1921.0345299243927,113
24,-1986.2522866725922,113
25,-2051.2862532138824,115
26,-2107.250184059143,115
27,-2174.321135520935,119
28,-2233.445698738098,120
29,-2329.671539545059,122
30,-2398.503740787506,123
