,0,1,2
0,com.canva.app.editor.login.start.StartActivity,4,4
1,com.facebook.FacebookActivity,4,0
2,com.facebook.FacebookActivity,16,2
3,com.facebook.FacebookActivity,6,1
4,.WebViewBrowserActivity,6,1
5,com.facebook.FacebookActivity,0,0
6,com.canva.app.editor.login.start.StartActivity,6,1
7,com.canva.app.editor.login.start.StartActivity,4,0
8,com.canva.app.editor.login.email.EmailActivity,4,0
9,com.canva.app.editor.login.start.StartActivity,2,1
10,.common.account.AccountPickerActivity,4,0
11,com.canva.app.editor.login.email.EmailActivity,2,1
12,.WebViewBrowserActivity,16,2
13,.WebViewBrowserActivity,6,2
14,com.facebook.FacebookActivity,17,2
15,com.facebook.FacebookActivity,12,2
16,com.facebook.FacebookActivity,10,2
17,com.facebook.FacebookActivity,11,2
18,.WebViewBrowserActivity,14,2
19,com.facebook.FacebookActivity,14,2
20,com.facebook.FacebookActivity,15,2
21,com.canva.app.editor.login.start.StartActivity,14,2
22,com.facebook.FacebookActivity,4,2
23,com.facebook.FacebookActivity,5,2
24,.WebViewBrowserActivity,17,2
25,com.canva.app.editor.login.start.StartActivity,5,1
26,com.canva.app.editor.home.HomeActivity,20,1
27,com.canva.app.editor.home.HomeActivity,6,0
28,com.canva.app.editor.home.HomeActivity,20,21
29,com.canva.createwizard.feature.CreateWizardActivity,20,1
30,com.canva.createwizard.feature.CreateWizardActivity,7,0
31,com.canva.createwizard.feature.CreateWizardActivity,8,0
32,com.canva.app.editor.editor.EditorActivity,9,0
33,com.canva.app.editor.editor.EditorActivity,10,0
34,com.canva.magicresize.MagicResizeActivity,11,0
35,com.canva.magicresize.MagicResizeActivity,8,0
36,com.canva.app.editor.editor.EditorActivity,8,0
37,com.canva.app.editor.editor.EditorActivity,11,0
38,com.canva.app.editor.home.HomeActivity,11,0
39,com.canva.app.editor.home.HomeActivity,7,0
40,com.canva.app.editor.home.HomeActivity,34,1
41,com.canva.app.editor.home.HomeActivity,18,1
42,com.canva.app.editor.home.HomeActivity,22,1
43,com.canva.app.editor.home.HomeActivity,14,1
44,com.canva.app.editor.home.HomeActivity,27,1
45,com.canva.app.editor.home.HomeActivity,15,1
46,com.canva.app.editor.home.HomeActivity,15,0
47,com.canva.app.editor.home.HomeActivity,28,1
48,com.canva.app.editor.categorytree.CategoryTreeActivity,20,1
49,com.canva.app.editor.categorytree.CategoryTreeActivity,12,0
50,com.canva.app.editor.home.HomeActivity,12,0
51,com.canva.app.editor.home.HomeActivity,31,1
52,com.android.internal.app.ChooserActivity,15,0
53,com.canva.app.editor.home.HomeActivity,6,7
54,com.canva.app.editor.home.HomeActivity,10,0
55,com.android.internal.app.ChooserActivity,13,0
56,com.canva.app.editor.home.HomeActivity,13,0
57,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,20,1
58,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,3,0
59,com.canva.app.editor.home.HomeActivity,3,0
60,com.android.internal.app.ChooserActivity,11,0
61,com.canva.app.editor.home.HomeActivity,16,0
62,com.canva.createwizard.feature.CreateWizardCustomDimensionsActivity,7,0
63,com.canva.createwizard.feature.CreateWizardCustomDimensionsActivity,6,2
64,com.canva.app.editor.login.start.StartActivity,2,0
65,com.facebook.FacebookActivity,6,2
66,com.canva.app.editor.login.start.StartActivity,6,2
67,com.canva.app.editor.login.start.StartActivity,5,2
68,com.canva.app.editor.login.start.StartActivity,15,2
69,com.facebook.FacebookActivity,8,2
70,com.canva.app.editor.login.start.StartActivity,16,2
71,.WebViewBrowserActivity,15,2
72,com.canva.app.editor.login.start.StartActivity,17,2
73,.WebViewBrowserActivity,5,2
74,com.facebook.FacebookActivity,18,0
75,.common.account.AccountPickerActivity,3,3
76,com.canva.app.editor.login.start.StartActivity,3,0
77,com.canva.app.editor.home.HomeActivity,21,1
78,com.canva.app.editor.home.HomeActivity,26,1
79,com.canva.app.editor.home.HomeActivity,19,0
80,com.canva.app.editor.editor.EditorActivity,19,0
81,com.google.android.finsky.billing.acquire.BottomSheetUiBuilderHostActivity,7,0
82,com.canva.app.editor.editor.EditorActivity,7,0
83,com.canva.app.editor.editor.EditorActivity,23,1
84,com.canva.app.editor.editor.EditorActivity,14,0
85,com.canva.app.editor.home.HomeActivity,21,22
86,com.canva.app.editor.categorytree.CategoryTreeActivity,21,1
87,.WebViewBrowserActivity,6,0
88,com.google.android.finsky.billing.acquire.BottomSheetUiBuilderHostActivity,8,2
89,com.canva.app.editor.home.HomeActivity,19,1
90,com.canva.app.editor.home.HomeActivity,35,1
91,com.android.internal.app.ChooserActivity,16,0
92,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,21,1
93,com.android.internal.app.ChooserActivity,7,0
94,com.google.android.finsky.billing.acquire.BottomSheetUiBuilderHostActivity,3,0
95,com.canva.app.editor.editor.EditorActivity,18,0
96,com.android.internal.app.ChooserActivity,18,0
97,com.canva.app.editor.home.HomeActivity,18,0
98,com.canva.app.editor.home.HomeActivity,39,1
99,com.canva.app.editor.editor.EditorActivity,16,0
100,com.canva.app.editor.editor.EditorActivity,15,0
101,com.canva.magicresize.MagicResizeActivity,13,1
102,com.canva.app.editor.home.HomeActivity,17,1
103,com.canva.app.editor.home.HomeActivity,23,1
104,com.canva.app.editor.home.HomeActivity,4,0
105,com.canva.app.editor.editor.EditorActivity,3,0
106,com.android.internal.app.ChooserActivity,3,0
107,.WebViewBrowserActivity,2,0
108,com.canva.app.editor.home.HomeActivity,5,5
109,com.canva.app.editor.home.HomeActivity,5,0
110,com.canva.app.editor.home.HomeActivity,1,0
111,com.canva.app.editor.home.HomeActivity,20,0
112,com.canva.app.editor.editor.EditorActivity,20,0
113,com.android.internal.app.ChooserActivity,19,0
114,com.android.internal.app.ChooserActivity,20,0
115,com.canva.createwizard.feature.CreateWizardActivity,14,1
116,com.canva.quickflow.feature.QuickFlowActivity,8,0
117,com.canva.quickflow.feature.QuickFlowActivity,15,0
118,com.canva.createwizard.feature.CreateWizardActivity,15,0
119,com.canva.createwizard.feature.CreateWizardActivity,26,1
120,com.canva.app.editor.editor.EditorActivity,18,1
121,com.canva.magicresize.MagicResizeActivity,7,0
122,com.canva.app.editor.home.HomeActivity,17,0
