,0,1,2
0,.app.LoginActivity,2,0
1,.signuplogin.SignupActivity,6,2
2,.signuplogin.SignupActivity,6,2
3,.app.LoginActivity,2,0
4,.app.LoginActivity,2,0
5,.app.LoginActivity,2,0
6,.onboarding.WelcomeFlowActivity,11,0
7,.onboarding.WelcomeFlowActivity,11,0
8,.onboarding.WelcomeFlowActivity,8,0
9,.onboarding.WelcomeFlowActivity,6,0
10,.onboarding.WelcomeFlowActivity,6,0
11,.onboarding.WelcomeFlowActivity,3,0
12,.onboarding.WelcomeFlowActivity,6,0
13,.onboarding.WelcomeFlowActivity,6,0
14,.onboarding.WelcomeFlowActivity,6,0
15,.onboarding.WelcomeFlowActivity,6,0
16,.onboarding.WelcomeFlowActivity,6,0
17,.onboarding.WelcomeFlowActivity,6,0
18,.onboarding.WelcomeFlowActivity,6,0
19,.home.HomeActivity,0,0
20,.onboarding.WelcomeFlowActivity,3,0
21,.onboarding.WelcomeFlowActivity,11,0
22,.onboarding.WelcomeFlowActivity,11,0
23,.onboarding.WelcomeFlowActivity,3,0
24,.onboarding.WelcomeFlowActivity,3,0
25,.session.Api2SessionActivity,0,0
26,.session.Api2SessionActivity,6,0
27,.session.Api2SessionActivity,6,0
28,.onboarding.WelcomeFlowActivity,3,0
29,.onboarding.WelcomeFlowActivity,3,0
30,.onboarding.WelcomeFlowActivity,3,0
31,.onboarding.WelcomeFlowActivity,3,0
32,.onboarding.WelcomeFlowActivity,3,0
33,.onboarding.PlacementTestExplainedActivity,2,0
34,.session.Api2SessionActivity,0,0
35,.session.Api2SessionActivity,4,0
36,.onboarding.WelcomeFlowActivity,3,0
37,.onboarding.WelcomeFlowActivity,3,0
38,.onboarding.PlacementTestExplainedActivity,2,0
39,.session.Api2SessionActivity,0,0
40,.session.Api2SessionActivity,5,0
41,.session.Api2SessionActivity,5,0
42,.session.Api2SessionActivity,5,0
43,.home.HomeActivity,0,0
44,.onboarding.WelcomeFlowActivity,3,0
45,.onboarding.WelcomeFlowActivity,3,0
46,.onboarding.WelcomeFlowActivity,11,0
47,.onboarding.WelcomeFlowActivity,3,0
48,.onboarding.WelcomeFlowActivity,11,0
49,.onboarding.WelcomeFlowActivity,11,0
50,.onboarding.WelcomeFlowActivity,11,0
51,.onboarding.WelcomeFlowActivity,11,0
52,.onboarding.WelcomeFlowActivity,3,0
53,.onboarding.WelcomeFlowActivity,3,0
54,.session.Api2SessionActivity,0,0
55,.session.Api2SessionActivity,0,0
56,.session.Api2SessionActivity,0,0
57,.session.Api2SessionActivity,0,0
58,.onboarding.WelcomeFlowActivity,3,0
59,.onboarding.WelcomeFlowActivity,3,0
60,.onboarding.PlacementTestExplainedActivity,2,0
61,.onboarding.PlacementTestExplainedActivity,2,0
62,.session.Api2SessionActivity,0,0
63,.session.Api2SessionActivity,9,0
64,.onboarding.WelcomeFlowActivity,3,0
65,.home.HomeActivity,0,0
66,.onboarding.WelcomeFlowActivity,3,0
67,.onboarding.WelcomeFlowActivity,3,0
68,.session.Api2SessionActivity,0,0
69,.session.Api2SessionActivity,6,0
70,.session.Api2SessionActivity,6,0
71,.onboarding.WelcomeFlowActivity,3,0
72,.onboarding.WelcomeFlowActivity,11,0
73,.onboarding.WelcomeFlowActivity,3,0
74,.onboarding.WelcomeFlowActivity,3,0
75,.onboarding.PlacementTestExplainedActivity,2,0
76,.onboarding.WelcomeFlowActivity,3,0
77,.onboarding.WelcomeFlowActivity,3,0
78,.session.Api2SessionActivity,0,0
79,.session.Api2SessionActivity,0,0
80,.onboarding.WelcomeFlowActivity,3,0
81,.onboarding.WelcomeFlowActivity,3,0
82,.session.Api2SessionActivity,0,0
83,.onboarding.WelcomeFlowActivity,3,0
84,.session.Api2SessionActivity,6,0
85,.session.Api2SessionActivity,6,0
86,.session.Api2SessionActivity,6,0
87,.session.Api2SessionActivity,6,0
88,.session.Api2SessionActivity,6,0
89,.session.Api2SessionActivity,6,0
90,.session.Api2SessionActivity,6,0
91,.home.HomeActivity,0,0
92,.onboarding.WelcomeFlowActivity,3,0
93,.onboarding.WelcomeFlowActivity,11,0
94,.onboarding.WelcomeFlowActivity,11,0
95,.onboarding.WelcomeFlowActivity,3,0
96,.onboarding.WelcomeFlowActivity,3,0
97,.onboarding.WelcomeFlowActivity,3,0
98,.onboarding.WelcomeFlowActivity,3,0
99,.session.Api2SessionActivity,0,0
100,.session.Api2SessionActivity,0,0
101,.session.Api2SessionActivity,0,0
102,.session.Api2SessionActivity,0,0
103,.session.Api2SessionActivity,0,0
104,.session.Api2SessionActivity,6,0
105,.session.Api2SessionActivity,6,0
106,.onboarding.WelcomeFlowActivity,3,0
107,.session.Api2SessionActivity,0,0
108,.session.Api2SessionActivity,6,0
109,.onboarding.WelcomeFlowActivity,3,0
110,.session.Api2SessionActivity,0,0
111,.session.Api2SessionActivity,6,0
112,.onboarding.WelcomeFlowActivity,3,0
113,.onboarding.WelcomeFlowActivity,3,0
114,.session.Api2SessionActivity,0,0
115,.onboarding.WelcomeFlowActivity,3,0
116,.home.HomeActivity,0,0
117,.onboarding.WelcomeFlowActivity,3,0
118,.onboarding.WelcomeFlowActivity,11,0
119,.onboarding.WelcomeFlowActivity,11,0
120,.onboarding.WelcomeFlowActivity,10,0
121,.onboarding.WelcomeFlowActivity,3,0
122,.onboarding.WelcomeFlowActivity,3,0
123,.onboarding.PlacementTestExplainedActivity,2,0
124,.session.Api2SessionActivity,0,0
125,.session.Api2SessionActivity,0,0
126,.session.Api2SessionActivity,0,0
127,.session.Api2SessionActivity,7,0
128,.session.Api2SessionActivity,7,0
129,.session.Api2SessionActivity,7,0
130,.session.Api2SessionActivity,7,0
131,.session.Api2SessionActivity,7,0
132,.session.Api2SessionActivity,7,0
133,.session.Api2SessionActivity,7,0
134,.onboarding.WelcomeFlowActivity,3,0
135,.onboarding.WelcomeFlowActivity,3,0
136,.home.HomeActivity,0,0
137,.onboarding.WelcomeFlowActivity,11,0
138,.onboarding.WelcomeFlowActivity,3,0
139,.onboarding.PlacementTestExplainedActivity,2,0
140,.session.Api2SessionActivity,0,0
141,.onboarding.WelcomeFlowActivity,3,0
142,.onboarding.PlacementTestExplainedActivity,2,0
143,.session.Api2SessionActivity,0,0
144,.session.Api2SessionActivity,12,0
145,.session.Api2SessionActivity,12,0
146,.session.Api2SessionActivity,12,0
147,.session.Api2SessionActivity,12,0
148,.session.Api2SessionActivity,12,0
149,.session.Api2SessionActivity,12,0
150,.session.Api2SessionActivity,5,0
151,.session.Api2SessionActivity,8,1
152,.session.Api2SessionActivity,8,1
153,.session.Api2SessionActivity,5,0
154,.session.Api2SessionActivity,13,0
155,.session.Api2SessionActivity,13,0
156,.session.Api2SessionActivity,6,0
157,.onboarding.WelcomeFlowActivity,3,0
158,.onboarding.WelcomeFlowActivity,3,0
159,.home.HomeActivity,0,0
160,.onboarding.WelcomeFlowActivity,3,0
161,.onboarding.PlacementTestExplainedActivity,2,0
162,.onboarding.WelcomeFlowActivity,3,0
163,.onboarding.WelcomeFlowActivity,11,0
164,.onboarding.WelcomeFlowActivity,3,0
165,.session.Api2SessionActivity,0,0
166,.session.Api2SessionActivity,6,0
167,.session.Api2SessionActivity,6,0
168,.session.Api2SessionActivity,6,0
169,.onboarding.WelcomeFlowActivity,3,0
170,.session.Api2SessionActivity,6,0
171,.onboarding.WelcomeFlowActivity,3,0
172,.session.Api2SessionActivity,6,0
173,.session.Api2SessionActivity,6,0
174,.session.Api2SessionActivity,6,0
175,.session.Api2SessionActivity,4,0
176,.session.Api2SessionActivity,7,1
177,.session.Api2SessionActivity,7,1
