,0,1,2
0,.app.LoginActivity,2,2
1,.onboarding.WelcomeFlowActivity,2,0
2,.onboarding.WelcomeFlowActivity,11,0
3,.onboarding.WelcomeFlowActivity,1,0
4,.onboarding.WelcomeFlowActivity,8,0
5,.onboarding.WelcomeFlowActivity,6,0
6,.session.Api2SessionActivity,3,0
7,.session.Api2SessionActivity,6,0
8,.session.Api2SessionActivity,9,0
9,.onboarding.WelcomeFlowActivity,3,0
10,.onboarding.PlacementTestExplainedActivity,3,0
11,.onboarding.PlacementTestExplainedActivity,2,0
12,.session.Api2SessionActivity,2,0
13,.session.Api2SessionActivity,0,0
14,.home.HomeActivity,0,0
15,.onboarding.WelcomeFlowActivity,9,0
16,.onboarding.WelcomeFlowActivity,0,0
17,.home.HomeActivity,3,0
18,.onboarding.WelcomeFlowActivity,3,3
19,.session.Api2SessionActivity,12,0
20,.session.Api2SessionActivity,10,0
21,.onboarding.FromLanguageActivity,11,0
22,.onboarding.FromLanguageActivity,2,0
23,.onboarding.WelcomeFlowActivity,4,0
24,.session.Api2SessionActivity,5,0
25,.session.Api2SessionActivity,11,0
26,.onboarding.WelcomeFlowActivity,5,0
