,0,1,2
0,.app.LoginActivity,2,2
1,.signuplogin.SignupActivity,2,0
2,.auth.api.signin.ui.SignInActivity,6,2
3,.auth.uiflows.minutemaid.MinuteMaidActivity,3,0
4,.WebViewBrowserActivity,3,0
5,.signuplogin.SignupActivity,3,0
6,.onboarding.WelcomeFlowActivity,6,2
7,.onboarding.WelcomeFlowActivity,8,0
8,.onboarding.WelcomeFlowActivity,6,0
9,.session.Api2SessionActivity,3,0
10,.session.Api2SessionActivity,0,0
11,.home.HomeActivity,0,0
12,.onboarding.WelcomeFlowActivity,3,0
13,.onboarding.PlacementTestExplainedActivity,3,0
14,.session.Api2SessionActivity,2,0
15,.session.Api2SessionActivity,12,0
16,.forum.SentenceDiscussionActivity,5,0
17,.profile.ProfileActivity,8,1
18,.profile.ProfileActivity,1,0
19,.profile.ProfileActivity,5,0
20,.onboarding.WelcomeFlowActivity,0,0
21,.onboarding.WelcomeFlowActivity,2,0
22,.session.Api2SessionActivity,6,0
23,.onboarding.FromLanguageActivity,11,0
24,.onboarding.FromLanguageActivity,2,0
25,.onboarding.WelcomeFlowActivity,11,0
26,.session.Api2SessionActivity,10,0
27,.onboarding.WelcomeFlowActivity,3,3
28,.session.Api2SessionActivity,11,0
29,.session.Api2SessionActivity,9,0
30,.onboarding.WelcomeFlowActivity,9,0
31,.session.Api2SessionActivity,4,0
32,.session.Api2SessionActivity,8,0
33,.session.Api2SessionActivity,5,0
34,.session.Api2SessionActivity,8,1
