,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare._HomeScreen.Activity_AddParent,13,0
2,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,1
3,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
4,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
5,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
6,com.example.babiescare._HomeScreen.Activity_CreateChild,8,2
7,com.example.babiescare.MainMenu.MainMenuSlidingActivity,8,2
8,com.example.babiescare.MainMenu.MainMenuSlidingActivity,7,2
9,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
10,com.example.babiescare.MainMenu.MainMenuSlidingActivity,2,0
11,com.example.babiescare._Vaccine._VaccineMainTabHostActivity,2,0
12,com.example.babiescare._Vaccine._VaccineListFragmentActivity,13,0
13,com.example.babiescare._Vaccine._VaccineListFragmentActivity,13,1
14,com.example.babiescare._Growth._GrowthMainActivity,2,0
15,com.example.babiescare._Growth._GrowthMainActivity,11,0
16,com.example.babiescare._Growth._GrowthMainActivity,1,0
17,com.example.babiescare.MainMenu.MainMenuSlidingActivity,11,0
18,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,11,0
19,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,74,0
20,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,81,0
21,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,1,0
