,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare._HomeScreen.Activity_AddParent,13,0
2,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,1
3,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
4,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
5,com.example.babiescare.MainMenu.MainMenuSlidingActivity,7,2
6,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
7,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
8,com.example.babiescare.MainMenu.MainMenuSlidingActivity,2,0
9,com.example.babiescare.MainMenu.MainMenuSlidingActivity,11,0
10,com.example.babiescare._Dental._DentalMainFragmentActivity,11,0
11,com.example.babiescare._Dental._DentalMainFragmentActivity,24,0
12,com.example.babiescare._Dental._DentalMainFragmentActivity,1,0
13,com.example.babiescare._Dental._DentalMainFragmentActivity,4,0
14,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
15,com.android.camera.CaptureActivity,2,0
16,com.example.babiescare._HomeScreen.Activity_AddParent,2,0
17,com.example.babiescare._HomeScreen.Activity_CreateChild,8,2
18,.picker.PickActivity,2,0
19,com.example.babiescare._HomeScreen.Activity_CreateChild,3,0
20,com.example.babiescare.MainMenu.MainMenuSlidingActivity,1,0
21,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,11,0
22,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,67,0
23,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,74,0
24,com.example.babiescare.MainMenu.MainMenuSlidingActivity,74,0
25,com.example.babiescare.MainMenu.MainMenuSlidingActivity,67,0
26,com.example.babiescare.MainMenu.MainMenuSlidingActivity,8,2
27,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
28,com.example.babiescare.MainMenu.MainMenuSlidingActivity,6,2
29,com.example.babiescare._HomeScreen.Activity_AddParent,5,1
30,com.example.babiescare.MainMenu.MainMenuSlidingActivity,5,1
31,.NexusLauncherActivity,13,0
32,.NexusLauncherActivity,9,0
33,.auth.uiflows.minutemaid.MinuteMaidActivity,9,0
34,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,0
35,com.example.babiescare._HomeScreen.Activity_CreateChild,1,0
36,com.example.babiescare._Growth._GrowthMainActivity,2,0
37,com.example.babiescare._Growth._GrowthMainActivity,11,0
38,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,15,0
39,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,2,0
40,com.example.babiescare.MainMenu.Main_SplashScreenActivity,1,0
41,.NexusLauncherActivity,3,0
42,com.example.babiescare.MainMenu.MainMenuSlidingActivity,3,0
43,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,12,0
