,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
2,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
3,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
4,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
5,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
6,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
7,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
8,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
9,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
10,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
11,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
12,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
13,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
14,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
15,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
16,com.example.babiescare._HomeScreen.Activity_AddParent,2,0
17,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
18,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
19,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
20,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
21,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
22,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
23,com.example.babiescare.MainMenu.Main_SplashScreenActivity,0,0
24,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
25,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
26,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
27,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
28,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
29,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
30,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
31,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
32,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
33,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
34,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
35,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
36,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
37,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
38,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
39,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
40,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
41,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
42,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
43,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
44,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
45,com.example.babiescare.MainMenu.Main_SplashScreenActivity,0,0
46,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
47,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
48,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
49,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
50,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
51,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
52,com.example.babiescare._HomeScreen.Activity_AddParent,2,0
53,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
54,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
55,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
