,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
2,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
3,com.example.babiescare._HomeScreen.Activity_CreateChild,8,2
4,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
5,com.example.babiescare.MainMenu.MainMenuSlidingActivity,8,2
6,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
7,com.example.babiescare._Growth._GrowthMainActivity,2,0
8,com.example.babiescare._Growth._GrowthMainActivity,11,0
9,com.example.babiescare._Growth._GrowthMainActivity,1,0
10,com.example.babiescare.MainMenu.MainMenuSlidingActivity,11,0
11,com.example.babiescare.MainMenu.MainMenuSlidingActivity,2,0
12,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,11,0
13,.WebViewBrowserActivity,10,0
14,.WebViewBrowserActivity,2,1
15,com.example.babiescare.MainMenu.MainMenuSlidingActivity,7,2
16,com.example.babiescare.MainMenu.MainMenuSlidingActivity,1,0
17,com.example.babiescare.MainMenu.MainMenuSlidingActivity,15,0
18,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,15,0
19,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,67,0
20,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,74,0
21,com.example.babiescare.MainMenu.MainMenuSlidingActivity,74,0
22,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,2,0
23,.NexusLauncherActivity,9,0
24,com.example.babiescare._HomeScreen.Activity_AddParent,13,0
25,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
26,com.example.babiescare._HomeScreen.Activity_AddParent,2,0
27,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,1
28,com.android.camera.CaptureActivity,2,0
29,.NexusLauncherActivity,13,0
30,.extensions.GoogleDialtactsActivity,9,0
31,com.example.babiescare._HomeScreen.Activity_CreateChild,3,0
32,.picker.PickActivity,2,0
33,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
34,.AllInOneCalendarActivity,9,0
35,.ui.ConversationListActivity,9,0
36,com.example.babiescare._HomeScreen.Activity_AddParent,5,1
37,com.example.babiescare.MainMenu.MainMenuSlidingActivity,5,1
38,.NexusLauncherActivity,1,0
39,.AssetBrowserActivity,9,0
40,com.example.babiescare._HomeScreen.Activity_CreateChild,1,0
41,com.example.babiescare._HomeScreen.Activity_CreateChild,8,3
