,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
2,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
3,com.example.babiescare.MainMenu.MainMenuSlidingActivity,8,2
4,com.example.babiescare.MainMenu.MainMenuSlidingActivity,1,0
5,com.example.babiescare._HomeScreen.Activity_AddParent,13,0
6,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
7,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,1
8,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
9,com.example.babiescare._Dental._DentalMainFragmentActivity,15,0
10,com.example.babiescare._Dental._DentalMainFragmentActivity,24,0
11,com.example.babiescare._Dental._DentalMainFragmentActivity,4,0
12,com.example.babiescare._Dental._DentalMainFragmentActivity,5,0
13,com.example.babiescare._Dental._DentalMainFragmentActivity,6,0
14,com.example.babiescare._Development._DevelopmentMainActivity,15,0
15,com.example.babiescare._Development._DevelopmentMainActivity,10,0
16,com.example.babiescare.MainMenu.MainMenuSlidingActivity,10,0
17,com.example.babiescare.MainMenu.MainMenuSlidingActivity,3,0
18,.picker.PickActivity,2,0
19,com.example.babiescare.MainMenu.MainMenuSlidingActivity,7,2
20,com.example.babiescare.MainMenu.MainMenuSlidingActivity,2,0
21,com.example.babiescare.MainMenu.MainMenuSlidingActivity,4,0
22,com.example.babiescare._HomeScreen.Activity_AddParent,5,1
23,com.example.babiescare._HomeScreen.Activity_AddParent,2,0
24,com.example.babiescare.MainMenu.MainMenuSlidingActivity,5,1
25,com.example.babiescare._HomeScreen.Activity_CreateChild,8,2
26,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
27,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
28,com.example.babiescare._HomeScreen.Activity_CreateChild,1,0
29,com.android.camera.CaptureActivity,2,0
30,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,15,0
31,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,74,0
32,com.example.babiescare.MainMenu.MainMenuSlidingActivity,74,0
33,com.example.babiescare._Dental._DentalMainFragmentActivity,2,0
34,com.example.babiescare.MainMenu.MainMenuSlidingActivity,24,0
35,com.example.babiescare._Growth._GrowthMainActivity,2,0
36,com.example.babiescare._Growth._GrowthMainActivity,11,0
37,com.example.babiescare.MainMenu.MainMenuSlidingActivity,11,0
38,com.example.babiescare.MainMenu.MainMenuSlidingActivity,6,2
39,com.example.babiescare.MainMenu.MainMenuSlidingActivity,8,3
40,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,15,0
41,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,2,0
42,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,10,0
43,.WebViewBrowserActivity,2,1
44,.projector.ProjectorLaunchActivity,10,0
45,com.example.babiescare._Knowledge.multiKnowledgeSource._New_Knowledge_Activity,11,0
46,com.example.babiescare._Knowledge.multiKnowledgeSource._New_Knowledge_Activity,2,0
47,com.example.babiescare._Knowledge.multiKnowledgeSource._New_Knowledge_Activity,28,0
48,com.example.babiescare._Knowledge.multiKnowledgeSource._New_Knowledge_Activity,5,0
49,com.example.babiescare.MainMenu.MainMenuSlidingActivity,5,0
50,com.example.babiescare._Development._DevelopmentMainActivity,2,0
51,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,11,0
52,com.example.babiescare._Growth._GrowthMainActivity,1,0
53,com.example.babiescare._Development._DevelopmentMainActivity,1,0
54,com.example.babiescare._HomeScreen.Activity_CreateChild,3,0
55,com.example.babiescare._Development._DevelopmentMainActivity,11,0
56,com.example.babiescare._Development._DevelopmentMainActivity,9,0
57,.WebViewBrowserActivity,10,0
58,com.example.babiescare._KnowledgeSingLekLek.KnowledgeSingLekLekActivity,1,0
