,0,1
1,-93.15478754043579,39
2,-152.483380317688,40
3,-201.48045992851257,40
4,-300.2769455909729,45
5,-369.59922337532043,50
6,-429.52554750442505,50
7,-490.7123427391052,50
8,-543.0109713077545,50
9,-605.8007025718689,52
10,-663.3258140087128,52
11,-715.9932513237,53
12,-772.64897108078,53
13,-831.1273794174194,53
14,-893.3692581653595,53
15,-952.8943638801575,53
16,-1013.7040963172913,53
17,-1067.3838949203491,53
18,-1126.4669723510742,53
19,-1176.7376675605774,53
20,-1233.1044828891754,53
21,-1296.196277141571,53
22,-1349.2287838459015,54
23,-1401.4505491256714,54
24,-1457.9391083717346,54
25,-1517.1972041130066,54
26,-1583.529426574707,54
27,-1640.3476867675781,54
28,-1691.9199390411377,54
29,-1748.9517705440521,54
30,-1812.3075766563416,54
