,0,1,2
0,com.canva.app.editor.home.HomeActivity,6,7
1,com.canva.app.editor.categorytree.CategoryTreeActivity,21,1
2,com.canva.app.editor.home.HomeActivity,12,0
3,com.canva.app.editor.home.HomeActivity,14,1
4,com.canva.app.editor.home.HomeActivity,15,1
5,com.canva.app.editor.home.HomeActivity,19,1
6,com.canva.app.editor.home.HomeActivity,27,1
7,com.canva.createwizard.feature.CreateWizardActivity,26,1
8,com.canva.createwizard.feature.CreateWizardActivity,7,0
9,com.canva.createwizard.feature.CreateWizardActivity,9,0
10,com.canva.app.editor.editor.EditorActivity,9,0
11,com.canva.app.editor.editor.EditorActivity,10,0
12,com.canva.app.editor.home.HomeActivity,14,0
13,com.canva.app.editor.home.HomeActivity,26,1
14,com.canva.app.editor.home.HomeActivity,6,0
15,com.canva.app.editor.home.HomeActivity,17,0
16,com.canva.app.editor.home.HomeActivity,21,22
17,com.canva.app.editor.home.HomeActivity,21,1
18,com.canva.app.editor.categorytree.CategoryTreeActivity,12,0
19,com.canva.app.editor.home.HomeActivity,16,17
20,com.canva.app.editor.home.HomeActivity,18,1
21,com.canva.app.editor.home.HomeActivity,3,0
22,com.canva.createwizard.feature.CreateWizardActivity,6,0
23,com.canva.app.editor.home.HomeActivity,34,1
24,com.canva.app.editor.home.HomeActivity,17,1
25,com.canva.app.editor.home.HomeActivity,16,0
26,com.canva.app.editor.home.HomeActivity,25,1
27,com.canva.app.editor.home.HomeActivity,19,0
28,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,20,1
29,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,3,0
30,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,6,0
31,com.canva.app.editor.home.HomeActivity,15,0
32,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,21,1
33,com.canva.app.editor.home.HomeActivity,35,1
34,com.canva.app.editor.home.HomeActivity,22,1
35,com.canva.createwizard.feature.CreateWizardActivity,21,1
36,com.canva.createwizard.feature.CreateWizardActivity,8,0
