,0,1
1,-45.17192220687866,5
2,-74.82459163665771,6
3,-105.82987117767334,6
4,-147.82250881195068,11
5,-177.41604661941528,12
6,-205.4382679462433,13
7,-229.97649383544922,13
8,-259.16175627708435,13
9,-283.57271218299866,13
10,-309.37794852256775,13
11,-334.57221722602844,13
12,-358.2429962158203,13
13,-384.5074462890625,13
14,-408.93820786476135,13
15,-433.57039523124695,13
16,-460.883358001709,14
17,-489.3964936733246,17
18,-529.1787972450256,19
19,-552.5735259056091,19
20,-575.8564774990082,19
21,-607.7244119644165,21
22,-633.3912084102631,21
23,-661.0256850719452,21
24,-692.5635981559753,21
25,-714.7584850788116,21
26,-738.9334676265717,21
27,-766.2673101425171,21
28,-790.6642718315125,21
29,-814.0333409309387,21
30,-844.1542992591858,21
