,0,1,2
0,.app.LoginActivity,2,2
1,.app.LoginActivity,2,0
2,.signuplogin.SignupActivity,2,0
3,.signuplogin.SignupActivity,6,2
4,.signuplogin.SignupActivity,2,1
5,.app.LoginActivity,6,2
6,.onboarding.WelcomeFlowActivity,2,0
7,.onboarding.WelcomeFlowActivity,11,0
8,.onboarding.WelcomeFlowActivity,1,0
9,.onboarding.WelcomeFlowActivity,8,0
10,.onboarding.WelcomeFlowActivity,6,0
11,.home.HomeActivity,0,0
12,.onboarding.WelcomeFlowActivity,0,0
13,.onboarding.WelcomeFlowActivity,6,6
14,.onboarding.WelcomeFlowActivity,3,0
15,.onboarding.PlacementTestExplainedActivity,3,0
16,.onboarding.PlacementTestExplainedActivity,2,0
17,.session.Api2SessionActivity,2,0
18,.session.Api2SessionActivity,9,0
19,.session.Api2SessionActivity,3,0
20,.session.Api2SessionActivity,6,0
