,0,1,2
0,.activities.LoginActivity,4,4
1,.activities.LoginActivity,4,0
2,.activities.LoginActivity,2,0
3,com.facebook.FacebookActivity,4,0
4,.activities.LoginActivity,16,2
5,.activities.LoginActivity,2,2
6,.activities.LoginActivity,3,2
7,.activities.LoginActivity,1,0
8,.activities.CalendarActivity,1,0
9,.activities.CalendarActivity,4,0
10,.activities.CalendarActivity,12,0
11,.activities.CalendarActivity,3,0
12,.common.account.AccountPickerActivity,3,0
13,.activities.CalendarActivity,14,0
14,.activities.CalendarActivity,4,4
15,.activities.CalendarActivity,11,3
16,.activities.CalendarActivity,12,5
17,.activities.CalendarActivity,10,2
18,.activities.CalendarActivity,17,0
19,.activities.CalendarActivity,10,0
20,.activities.CalendarActivity,6,0
21,.activities.CalendarActivity,7,0
22,.common.account.AccountPickerActivity,12,5
