,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
1,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
2,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
3,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
4,com.example.babiescare._HomeScreen.Activity_CreateChild,8,2
5,com.example.babiescare._HomeScreen.Activity_CreateChild,8,3
6,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
7,com.example.babiescare._HomeScreen.Activity_CreateChild,3,0
8,com.example.babiescare._HomeScreen.Activity_CreateChild,5,0
9,com.example.babiescare._HomeScreen.Activity_CreateChild,3,2
10,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
11,com.example.babiescare._HomeScreen.Activity_CreateChild,1,0
12,com.example.babiescare.MainMenu.MainMenuSlidingActivity,2,0
13,com.example.babiescare._HomeScreen.Activity_AddParent,13,0
14,com.example.babiescare._HomeScreen.Activity_AddParent,4,1
15,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,11,0
16,com.example.babiescare._AppointmentGoogleCalendar._AppointmentFirstTabFragmentActivity,74,0
17,com.example.babiescare._Growth._GrowthMainActivity,2,0
18,com.example.babiescare._Growth._GrowthMainActivity,11,0
19,com.example.babiescare.MainMenu.MainMenuSlidingActivity,11,0
20,com.example.babiescare._Development._DevelopmentMainActivity,2,0
21,com.example.babiescare._Development._DevelopmentMainActivity,10,0
22,com.example.babiescare._Development._DevelopmentMainActivity,9,0
23,com.example.babiescare._Development._DevelopmentMainActivity,11,0
