,0,1
1,-71.18565368652344,8
2,-137.68568873405457,14
3,-187.55550360679626,17
4,-234.47180914878845,18
5,-276.1095280647278,19
6,-331.93192887306213,20
7,-418.2720673084259,26
8,-470.70676493644714,27
9,-519.7656095027924,29
10,-557.8183856010437,29
11,-589.7904300689697,29
12,-642.7303047180176,31
13,-762.2911467552185,34
14,-813.1333816051483,36
15,-849.1946823596954,36
16,-892.5814073085785,36
17,-937.8326375484467,36
18,-985.7812299728394,38
19,-1057.3767018318176,41
20,-1145.7842693328857,42
21,-1189.9882400035858,42
22,-1227.5984284877777,42
23,-1277.3513288497925,42
24,-1318.3716268539429,42
25,-1405.8569803237915,42
26,-1439.8619120121002,42
27,-1478.8527455329895,42
28,-1517.8918113708496,42
29,-1554.1226847171783,42
30,-1617.1264803409576,44
