,0,1,2
0,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
 
2,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
3,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
4,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
5,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
6,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
7,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
8,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
9,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
10,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
11,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
12,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
13,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
14,com.example.babiescare._HomeScreen.Activity_CreateChild,13,0
15,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
16,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
17,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
18,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
19,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
20,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
2 
22,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
23,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
24,com.example.babiescare._HomeScreen.Activity_CreateChild,6,2
25,com.example.babiescare.MainMenu.Main_SplashScreenActivity,0,0
26,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
27,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
28,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
29,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
30,com.example.babiescare.MainMenu.MainMenuSlidingActivity,0,0
3 
32,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
33,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
34,com.example.babiescare._HomeScreen.Activity_CreateChild,1,0
35,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
36,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
37,com.example.babiescare.MainMenu.MainMenuSlidingActivity,13,0
38,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
39,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
40,com.example.babiescare._HomeScreen.Activity_CreateChild,7,2
41,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
42,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
43,com.example.babiescare._HomeScreen.Activity_CreateChild,2,0
