,0,1
1,-112.29615306854248,14
2,-169.33110237121582,18
3,-216.87078976631165,20
4,-272.23597383499146,21
5,-323.99165534973145,22
6,-370.0460524559021,22
7,-406.21105217933655,22
8,-460.31808519363403,25
9,-517.4593040943146,26
10,-573.6004445552826,27
11,-633.73006772995,28
12,-669.8673441410065,28
13,-715.0536160469055,28
14,-761.5551216602325,29
15,-810.342835187912,30
16,-895.9751801490784,35
17,-940.8150391578674,35
18,-995.7009663581848,35
19,-1052.598726272583,35
20,-1106.2553520202637,35
21,-1157.204990386963,35
22,-1210.3344724178314,38
23,-1257.1962158679962,38
24,-1311.3619089126587,38
25,-1361.30326795578,39
26,-1408.0167725086212,39
27,-1451.9266819953918,39
28,-1490.4229564666748,39
29,-1536.6241817474365,39
30,-1577.1153643131256,39
