,0,1,2
0,com.canva.app.editor.login.start.StartActivity,4,0
1,com.canva.app.editor.login.start.StartActivity,4,0
2,com.canva.app.editor.login.email.EmailActivity,2,1
3,com.canva.app.editor.login.start.StartActivity,4,0
4,com.canva.app.editor.login.start.StartActivity,4,0
5,com.canva.app.editor.login.start.StartActivity,4,0
6,.common.account.AccountPickerActivity,3,0
7,com.canva.app.editor.login.start.StartActivity,4,0
8,com.canva.app.editor.home.HomeActivity,20,1
9,com.canva.app.editor.home.HomeActivity,13,0
10,com.canva.app.editor.home.HomeActivity,13,0
11,com.canva.app.editor.home.HomeActivity,13,0
12,com.canva.app.editor.home.HomeActivity,21,1
13,com.canva.app.editor.categorytree.CategoryTreeActivity,12,0
14,com.canva.app.editor.home.HomeActivity,18,1
15,com.canva.app.editor.home.HomeActivity,16,0
16,com.canva.app.editor.login.start.StartActivity,4,0
17,com.canva.app.editor.login.email.EmailActivity,2,1
18,com.canva.app.editor.login.start.StartActivity,4,0
19,com.canva.app.editor.login.email.EmailActivity,2,1
20,com.canva.app.editor.login.start.StartActivity,4,0
21,com.canva.app.editor.login.start.StartActivity,4,0
22,com.canva.app.editor.login.start.StartActivity,4,0
23,com.canva.app.editor.login.start.StartActivity,4,0
24,com.canva.app.editor.login.start.StartActivity,4,0
25,com.canva.app.editor.login.start.StartActivity,4,0
26,com.canva.app.editor.login.start.StartActivity,4,0
27,com.canva.app.editor.login.email.EmailActivity,2,1
28,com.canva.app.editor.login.email.EmailActivity,2,1
29,com.canva.app.editor.splash.SplashActivity,0,0
30,com.canva.app.editor.login.start.StartActivity,4,0
31,com.canva.app.editor.login.start.StartActivity,4,0
32,com.facebook.FacebookActivity,0,0
33,com.facebook.FacebookActivity,16,2
34,com.canva.app.editor.login.start.StartActivity,4,0
35,com.facebook.FacebookActivity,14,2
36,com.facebook.FacebookActivity,15,2
37,com.facebook.FacebookActivity,18,0
38,com.canva.app.editor.login.start.StartActivity,4,0
39,com.canva.app.editor.login.start.StartActivity,4,0
40,com.facebook.FacebookActivity,14,2
41,com.canva.app.editor.login.start.StartActivity,4,0
42,com.canva.app.editor.login.start.StartActivity,4,0
43,com.canva.app.editor.login.email.EmailActivity,2,1
44,com.canva.app.editor.login.email.EmailActivity,2,1
45,com.canva.app.editor.login.start.StartActivity,4,0
46,com.canva.app.editor.login.start.StartActivity,4,0
47,com.canva.app.editor.login.start.StartActivity,4,0
48,com.facebook.FacebookActivity,14,2
49,com.facebook.FacebookActivity,13,2
50,com.facebook.FacebookActivity,0,0
51,com.facebook.FacebookActivity,5,1
52,com.canva.app.editor.login.start.StartActivity,4,0
53,com.canva.app.editor.login.start.StartActivity,4,0
54,com.canva.app.editor.login.start.StartActivity,4,0
55,com.canva.app.editor.login.start.StartActivity,4,0
56,com.canva.app.editor.login.email.EmailActivity,2,1
57,com.canva.app.editor.splash.SplashActivity,0,0
58,com.canva.app.editor.login.start.StartActivity,4,0
59,com.canva.app.editor.login.start.StartActivity,4,0
60,com.canva.app.editor.login.start.StartActivity,4,0
61,com.canva.app.editor.login.start.StartActivity,4,0
62,com.canva.app.editor.login.start.StartActivity,4,0
63,com.canva.app.editor.login.start.StartActivity,4,0
