,0,1
1,-70.3212616443634,6
2,-119.01451277732849,6
3,-276.72535395622253,8
4,-321.46748447418213,11
5,-373.4191644191742,11
6,-507.70472049713135,11
7,-545.4128878116608,14
8,-582.1866610050201,14
9,-682.4945569038391,14
10,-736.9240174293518,14
11,-786.9673140048981,14
12,-889.5753405094147,14
13,-1079.4880080223083,14
14,-1126.00697183609,14
15,-1175.813655614853,14
16,-1222.8313155174255,14
17,-1367.260163784027,15
18,-1458.21599984169,15
19,-1502.0044407844543,15
20,-1548.5351057052612,15
21,-1697.6561272144318,15
22,-1751.4619081020355,15
23,-1795.7538154125214,15
24,-1908.4649922847748,15
25,-1952.571391582489,16
26,-2127.9523146152496,16
27,-2167.8687312602997,18
28,-2204.7035319805145,18
29,-2252.6490800380707,18
30,-2291.2825043201447,18
