,0,1,2
0,.view.InitActivity,2,0
1,.view.InitActivity,5,0
2,.view.InitActivity,5,0
3,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
4,.view.InitActivity,5,0
5,.view.InitActivity,5,0
6,.view.InitActivity,5,0
7,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
8,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
9,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
10,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
11,.WebViewBrowserActivity,0,0
12,.view.InitActivity,2,0
13,.view.InitActivity,5,0
14,.view.InitActivity,5,0
15,.view.InitActivity,5,0
16,.view.InitActivity,5,0
17,.view.HomeActivity,0,0
18,.view.HomeActivity,3,0
19,.view.HomeActivity,2,2
20,.view.HomeActivity,2,2
21,.view.InitActivity,5,0
22,.view.InitActivity,5,0
23,.view.InitActivity,2,2
24,.view.InitActivity,2,2
25,.view.InitActivity,2,2
26,.view.InitActivity,2,2
27,.view.InitActivity,2,2
28,.view.InitActivity,3,0
29,.view.InitActivity,2,2
30,.view.InitActivity,2,2
31,.view.InitActivity,2,2
32,.view.InitActivity,2,2
33,.view.InitActivity,2,2
34,.view.InitActivity,3,0
35,.view.InitActivity,2,2
36,.view.InitActivity,2,2
37,.view.InitActivity,2,0
38,.view.InitActivity,5,0
39,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
40,com.thefinestartist.finestwebview.FinestWebViewActivity,0,0
41,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
42,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
43,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
44,.view.InitActivity,5,0
45,.view.InitActivity,2,2
46,.view.InitActivity,2,2
47,.view.InitActivity,2,2
48,.view.InitActivity,2,2
49,.view.InitActivity,3,0
50,.view.InitActivity,2,2
51,.view.InitActivity,2,2
52,.view.InitActivity,2,2
53,.view.InitActivity,3,0
54,.view.InitActivity,2,2
55,.view.InitActivity,2,0
56,.view.InitActivity,5,0
57,.view.InitActivity,5,0
58,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
59,com.thefinestartist.finestwebview.FinestWebViewActivity,0,0
60,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
61,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
62,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
63,.view.InitActivity,5,0
64,.view.InitActivity,2,2
65,.view.InitActivity,2,2
66,.view.InitActivity,3,0
67,.view.InitActivity,2,2
68,.view.InitActivity,3,0
69,.view.InitActivity,2,2
70,.view.InitActivity,2,2
71,.view.InitActivity,3,0
72,.view.InitActivity,2,2
73,.view.InitActivity,2,0
74,.view.InitActivity,5,0
75,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
76,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
77,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
78,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
79,.view.InitActivity,5,0
80,.view.InitActivity,5,0
81,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
82,.view.InitActivity,5,0
83,.view.InitActivity,5,0
84,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
85,.view.InitActivity,5,0
86,.view.InitActivity,5,0
87,.view.InitActivity,2,2
88,.view.InitActivity,2,2
89,.view.InitActivity,3,0
90,.view.InitActivity,2,2
91,.view.InitActivity,2,2
92,.view.InitActivity,3,0
93,.view.InitActivity,2,2
94,.view.InitActivity,3,0
95,.view.InitActivity,2,0
96,.view.InitActivity,5,0
97,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
98,.view.InitActivity,5,0
99,.view.InitActivity,5,0
100,.view.HomeActivity,3,0
101,.view.HomeActivity,2,2
102,.view.HomeActivity,3,0
103,.view.HomeActivity,2,2
104,.view.HomeActivity,2,2
