,0,1,2
0,.view.InitActivity,5,5
1,com.thefinestartist.finestwebview.FinestWebViewActivity,5,0
2,.view.InitActivity,2,0
3,.view.InitActivity,5,0
4,.view.InitActivity,2,2
5,.view.InitActivity,3,0
6,com.thefinestartist.finestwebview.FinestWebViewActivity,2,0
7,com.thefinestartist.finestwebview.FinestWebViewActivity,7,0
8,.view.HomeActivity,5,0
9,.view.HomeActivity,3,0
10,.view.HomeActivity,2,2
11,.view.HomeActivity,4,1
12,.view.HomeActivity,2,0
13,.view.HomeActivity,8,1
14,com.thefinestartist.finestwebview.FinestWebViewActivity,3,0
15,.view.HomeActivity,4,0
16,com.android.internal.app.ChooserActivity,5,1
17,.view.HomeActivity,5,1
