,0,1,2
0,net.skyscanner.go.activity.OnboardingActivity,1,0
1,net.skyscanner.go.activity.OnboardingActivity,1,0
2,net.skyscanner.go.activity.OnboardingActivity,1,0
3,net.skyscanner.go.activity.OnboardingActivity,1,0
4,net.skyscanner.go.activity.OnboardingActivity,1,0
5,net.skyscanner.go.activity.OnboardingActivity,1,0
6,net.skyscanner.go.activity.OnboardingActivity,6,0
7,net.skyscanner.go.activity.OnboardingActivity,1,0
8,net.skyscanner.go.activity.OnboardingActivity,1,0
9,net.skyscanner.go.activity.OnboardingActivity,1,0
10,net.skyscanner.go.activity.OnboardingActivity,6,0
11,net.skyscanner.go.activity.OnboardingActivity,6,0
12,net.skyscanner.go.activity.OnboardingActivity,1,0
13,net.skyscanner.go.activity.OnboardingActivity,1,0
14,net.skyscanner.go.activity.OnboardingActivity,1,0
15,net.skyscanner.go.activity.OnboardingActivity,6,0
16,net.skyscanner.go.activity.home.HomeActivity,10,0
17,net.skyscanner.go.activity.home.HomeActivity,10,0
18,net.skyscanner.go.activity.home.HomeActivity,5,0
19,net.skyscanner.go.activity.search.AutoSuggestActivity,10,1
20,net.skyscanner.go.inspiration.activity.InspirationActivity,11,0
21,net.skyscanner.go.inspiration.activity.InspirationActivity,11,0
22,net.skyscanner.go.activity.search.AutoSuggestActivity,10,1
23,net.skyscanner.go.inspiration.activity.InspirationActivity,11,0
24,net.skyscanner.go.inspiration.activity.InspirationActivity,11,0
25,net.skyscanner.go.inspiration.activity.InspirationActivity,10,0
26,net.skyscanner.go.inspiration.activity.InspirationActivity,10,0
27,net.skyscanner.go.inspiration.activity.InspirationActivity,13,0
28,net.skyscanner.go.inspiration.activity.InspirationActivity,10,0
29,net.skyscanner.go.dayview.activity.DayViewActivity,24,0
30,net.skyscanner.go.dayview.activity.DayViewActivity,13,0
31,net.skyscanner.go.inspiration.activity.InspirationActivity,10,0
32,net.skyscanner.go.dayview.activity.DayViewActivity,9,0
33,net.skyscanner.go.dayview.activity.DayViewActivity,19,0
34,net.skyscanner.go.dayview.activity.DayViewActivity,13,0
35,net.skyscanner.go.activity.OnboardingActivity,1,0
36,net.skyscanner.go.activity.OnboardingActivity,1,0
37,net.skyscanner.go.activity.OnboardingActivity,6,0
38,net.skyscanner.go.activity.OnboardingActivity,1,0
39,net.skyscanner.go.activity.home.HomeActivity,5,0
40,net.skyscanner.go.activity.home.HomeActivity,13,0
41,net.skyscanner.go.activity.home.HomeActivity,10,0
42,net.skyscanner.go.activity.home.HomeActivity,10,0
43,net.skyscanner.go.activity.home.HomeActivity,10,0
44,net.skyscanner.go.activity.home.HomeActivity,10,0
45,net.skyscanner.go.activity.home.HomeActivity,11,0
46,net.skyscanner.go.activity.home.HomeActivity,5,0
47,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,10,0
48,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,10,0
49,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,10,0
50,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,10,0
51,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
52,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
53,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
54,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,20,0
55,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
56,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
57,net.skyscanner.go.attachments.hotels.results.userinterface.activity.HotelsDayViewActivity,19,0
58,net.skyscanner.go.activity.home.HomeActivity,5,0
59,net.skyscanner.go.activity.home.HomeActivity,5,0
60,net.skyscanner.go.dayview.activity.DayViewActivity,15,0
61,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
62,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
63,net.skyscanner.go.dayview.activity.DayViewActivity,14,1
64,net.skyscanner.go.dayview.activity.DayViewActivity,14,1
65,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
66,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
67,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
68,net.skyscanner.go.dayview.activity.DayViewActivity,14,0
69,net.skyscanner.go.dayview.activity.DayViewActivity,15,0
70,net.skyscanner.go.dayview.activity.DayViewActivity,15,0
71,net.skyscanner.go.dayview.activity.DayViewActivity,15,0
72,net.skyscanner.go.dayview.activity.DayViewActivity,29,0
73,net.skyscanner.go.dayview.activity.DayViewActivity,29,0
74,net.skyscanner.go.dayview.activity.DayViewActivity,29,0
75,net.skyscanner.go.activity.home.HomeActivity,5,0
76,net.skyscanner.go.activity.home.HomeActivity,5,0
77,net.skyscanner.go.activity.search.AutoSuggestActivity,10,1
