,0,1
1,-123.77583408355713,5
2,-193.69880485534668,10
3,-310.8386559486389,27
4,-393.4447295665741,32
5,-493.4376423358917,35
6,-546.1241464614868,37
7,-599.1720168590546,41
8,-706.5056228637695,43
9,-762.4930160045624,45
10,-825.6747229099274,48
11,-899.3550794124603,56
12,-960.2687294483185,57
13,-1010.7886471748352,59
14,-1061.6141724586487,62
15,-1108.3492064476013,63
16,-1157.2654190063477,64
17,-1212.7933428287506,65
18,-1257.8103671073914,65
19,-1302.5939993858337,66
20,-1350.0790722370148,69
21,-1454.190413236618,73
22,-1500.930724620819,74
23,-1551.8842566013336,74
24,-1612.5311124324799,75
25,-1661.9384353160858,77
26,-1718.3442749977112,79
27,-1770.2124631404877,82
28,-1815.7000188827515,82
29,-1894.417865037918,82
30,-1947.8589174747467,82
