,0,1
1,-76.74249267578125,82
2,-153.20533990859985,83
3,-230.75681734085083,84
4,-300.56614899635315,87
5,-405.4221000671387,90
6,-535.5197176933289,95
7,-585.6804723739624,95
8,-646.5339410305023,95
9,-727.6291401386261,98
10,-782.5211310386658,99
11,-844.7919723987579,103
12,-919.0505957603455,105
13,-976.2177460193634,106
14,-1027.3223721981049,106
15,-1080.9715149402618,106
16,-1128.6486461162567,106
17,-1194.3523578643799,108
18,-1243.9082691669464,108
19,-1307.1260628700256,108
20,-1359.8897025585175,108
21,-1406.3960218429565,108
22,-1464.8473453521729,108
23,-1544.8423373699188,108
24,-1621.8892011642456,108
25,-1690.372457742691,109
26,-1744.4388360977173,109
27,-1796.3054163455963,109
28,-1863.0915756225586,109
29,-1908.007248878479,109
30,-1961.6251242160797,109
